#,Case,POI Voltage [pu],Gross Generation [%],Reactive Test,POI [MW],POI [MVAr],Bus Voltage [pu],Bus Voltage [pu],Bus Voltage [pu],Minimum Terminal Voltage [pu],Maximum Terminal Voltage [pu],Minimum Collection Voltage [pu],Maximum Collection Voltage [pu],Solution
1,0,0.95,0.0,Leading,0.7381,23.1416,0.937,0.9362,0.9353,0.8918,0.9365,0.9354,0.9386,0,19.701, 0.000
2,0,0.95,0.0,Lagging,3.638,185.8976,1.0187,1.0157,1.0033,0.9793,1.0514,1.0034,1.0396,0,199.259, 165.750
3,0,0.95,0.3,Leading,88.7636,15.8768,0.9362,0.9354,0.9346,0.8968,0.9406,0.9352,0.9445,0,16.353, 0.000
4,0,0.95,0.3,Lagging,85.9954,186.8363,1.0193,1.0177,1.009,1.0222,1.0563,1.0103,1.0464,0,204.027, 172.750
5,0,0.95,0.6,Leading,176.6949,-6.1888,0.9302,0.9294,0.9288,0.8949,0.9386,0.9299,0.9461,0,6.080, 0.000
6,0,0.95,0.6,Lagging,174.4059,176.3351,1.0163,1.016,1.011,1.0346,1.0798,1.0133,1.0491,0,203.208, 179.750
7,0,0.95,1.0,Leading,291.2466,-61.0387,0.9131,0.9124,0.9124,0.8817,0.9242,0.914,0.9395,0,-19.555, 0.000
8,0,0.95,1.0,Lagging,291.182,96.397,0.9887,0.9871,0.9803,0.9975,1.0232,0.9824,1.0248,0,140.145, 135.554
9,0,0.98,0.0,Leading,0.7675,0.5597,0.9547,0.9543,0.9554,0.9,0.9558,0.9528,0.9558,0,-3.256, -23.517
10,0,0.98,0.0,Lagging,3.58,189.4452,1.0468,1.0438,1.0316,1.0069,1.0775,1.0318,1.0673,0,202.159, 165.750
11,0,0.98,0.3,Leading,88.7538,-12.854,0.9514,0.9508,0.9514,0.9,0.9507,0.9514,0.9581,0,-12.808, -29.730
12,0,0.98,0.3,Lagging,86.0878,190.7064,1.0474,1.0458,1.0373,1.0489,1.0824,1.0386,1.074,0,207.084, 172.750
13,0,0.98,0.6,Leading,176.7001,-33.2748,0.9468,0.9458,0.9458,0.9,0.9433,0.9466,0.9612,0,-21.582, -28.188
14,0,0.98,0.6,Lagging,174.799,172.4183,1.0408,1.0405,1.0358,1.0538,1.1,1.038,1.072,0,196.680, 169.591
15,0,0.98,1.0,Leading,291.5884,-70.2961,0.9379,0.9371,0.9375,0.9,0.9441,0.9389,0.9631,0,-31.038, -13.987
16,0,0.98,1.0,Lagging,291.5757,103.1978,1.0186,1.0171,1.0103,1.0261,1.051,1.0124,1.054,0,144.573, 135.554
17,0,1.04,0.0,Leading,1.3288,-64.1886,0.983,0.9836,0.9898,0.9,0.9902,0.9732,0.9902,0,-66.531, -85.312
18,0,1.04,0.0,Lagging,2.4364,157.2219,1.085,1.0826,1.0736,1.0479,1.0983,1.0738,1.1,0,162.877, 118.378
19,0,1.04,0.3,Leading,88.1177,-82.8747,0.9786,0.9783,0.9824,0.9,0.9671,0.9738,0.9853,0,-80.750, -95.714
20,0,1.04,0.3,Lagging,87.5671,143.1565,1.0793,1.0779,1.0722,1.0649,1.1,1.0732,1.0986,0,150.269, 107.411
21,0,1.04,0.6,Leading,176.0103,-106.3607,0.9739,0.9726,0.974,0.9,0.9417,0.9723,0.9849,0,-92.398, -96.678
22,0,1.04,0.6,Lagging,176.5172,108.207,1.0664,1.0657,1.0629,1.0517,1.1,1.0645,1.0887,0,121.638, 85.881
23,0,1.04,1.0,Leading,291.0936,-141.8742,0.9654,0.9645,0.9669,0.9,0.9477,0.9656,0.9872,0,-101.336, -82.829
24,0,1.04,1.0,Lagging,292.5589,93.7373,1.0683,1.0668,1.0613,1.0657,1.095,1.0632,1.1,0,129.008, 111.343
25,0,1.05,0.0,Leading,1.5318,-75.492,0.9877,0.9886,0.9957,0.9,0.9961,0.9766,0.9961,0,-77.192, -95.141
26,0,1.05,0.0,Lagging,2.082,141.9295,1.087,1.0848,1.0771,1.0513,1.0942,1.0773,1.1,0,145.445, 99.437
27,0,1.05,0.3,Leading,87.8689,-94.8065,0.9833,0.9831,0.9878,0.9,0.9704,0.9771,0.9904,0,-91.899, -105.785
28,0,1.05,0.3,Lagging,87.8521,129.0018,1.0822,1.0808,1.0758,1.0625,1.1,1.0768,1.0996,0,134.274, 90.139
29,0,1.05,0.6,Leading,175.8099,-119.2414,0.9785,0.9771,0.9787,0.9,0.9415,0.9757,0.989,0,-104.478, -108.012
30,0,1.05,0.6,Lagging,176.7079,96.6381,1.0706,1.0699,1.0674,1.0513,1.1,1.0689,1.0914,0,108.729, 71.931
31,0,1.05,1.0,Leading,290.9232,-154.5942,0.97,0.969,0.9718,0.9,0.9483,0.9699,0.9912,0,-113.409, -94.291
32,0,1.05,1.0,Lagging,292.8418,77.6748,1.0703,1.069,1.0642,1.0615,1.0937,1.0661,1.1,0,111.085, 92.250
execution time Tue Jun 29 12:31:05 2021
 run time 49.41
